ds,yhat,yhat_lower,yhat_upper
2011-12-09,35936.65976781266,28686.525282070514,43597.439178911496
2011-12-16,43566.90708434602,35924.48522208439,51372.579963097865
2011-12-23,41830.17758209105,34405.554258119875,49634.09478125109
2011-12-30,32082.901283092004,24557.7951464998,39206.51900291615
2012-01-06,20400.014232328915,13197.942681789766,28231.366903964838
2012-01-13,12945.027662497847,5384.2960262516335,20463.730912839666
2012-01-20,12754.288293096459,5606.644733487796,20135.336424148634
2012-01-27,19218.06750520802,12272.049582117334,26465.19327551054
2012-02-03,28908.983894705532,21435.19438381639,36301.41132967266
2012-02-10,36783.71165450784,29330.852716225338,44309.044547914615
2012-02-17,38287.07137540555,30675.37383253654,46111.813750278394
2012-02-24,32330.038042182856,25242.586120044398,39946.766254692484
2012-03-02,22903.779806344693,16230.158376228932,30231.39402081563
2012-03-09,16850.774995921856,9235.806020765944,24265.701370228075
2012-03-16,18653.980985853017,11889.59775660119,26075.869608436955
2012-03-23,26698.631076119203,19956.712853503224,33924.955516530325
2012-03-30,34728.48841239706,27193.316392044704,41972.671560048926
2012-04-06,37252.74197039768,29929.678418524236,44899.459514455564
2012-04-13,33717.664459847896,26221.634324989802,41104.00345901572
2012-04-20,27755.403429352424,20679.28896096372,35612.31557772583
2012-04-27,23047.864444716444,15863.798786603304,29885.771735039332
2012-05-04,20429.37962005294,12877.32885253412,27967.748617562833
2012-05-11,18670.415898513766,11698.875209733773,25905.476685449776
2012-05-18,16990.530682794124,8965.14934921059,24512.159834512604
2012-05-25,15961.56750376167,8038.378652391395,23347.767875263664
2012-06-01,16176.640704736066,8953.206048982442,23438.11158073655
2012-06-08,16994.420802660097,9474.805292664043,24653.67437623409
2012-06-15,17190.656779753113,9587.562886757378,24641.831706352594
2012-06-22,16519.66706028811,8966.055421798494,24323.076731154186
2012-06-29,15958.210342017672,8639.566398597462,23474.108865672475
2012-07-06,16295.318724866676,9022.73146903578,24059.672238604307
2012-07-13,17022.947207444427,9574.603384194144,24749.097942960678
2012-07-20,17041.904147626174,9438.069918582602,24361.575436513656
2012-07-27,16187.464590421625,8580.881979177393,23301.31128136814
2012-08-03,15462.090102234817,8197.967359773873,22666.84168784359
2012-08-10,15664.375971965484,8308.767062317793,23442.866827550686
2012-08-17,16340.240840532937,8738.522659356333,23973.04442334293
2012-08-24,16544.99075026255,9481.754037216853,23921.359272339676
2012-08-31,16340.542268465593,8617.395703916585,23636.70021292733
2012-09-07,16816.53702649375,9621.860133000295,24317.801093147486
2012-09-14,18443.110629179915,10747.828487785167,26359.11590632419
2012-09-21,20088.347133880976,13037.204385271329,27474.153495116094
2012-09-28,20430.625796672815,12553.402641031154,28045.047980959906
2012-10-05,20186.80973196066,13127.340744587666,27929.022614985617
2012-10-12,21914.012362247733,14687.163428375561,29064.200554018535
2012-10-19,26826.91851559474,19380.979011536663,34373.700661434435
2012-10-26,32194.623453510736,24839.913939609753,39739.64023666152
2012-10-27,32699.510571017036,25184.98686173272,39770.84491658213
2012-10-28,33094.2157630748,25612.762076690502,40482.93287535193
2012-10-29,33367.06499465539,25663.16725575024,40864.499222012295
2012-10-30,33508.46686868974,25970.833016158038,41089.31713160009
2012-10-31,33511.21100514635,26133.581337077914,41445.9600287203
2012-11-01,33370.7193864664,25930.32280506225,40704.579777429615
2012-11-02,33085.243479356606,25621.80280304276,40817.31245269073
2012-11-03,32656.00115841034,25095.60009872908,39791.3013087765
2012-11-04,32087.24884044886,24689.652341277222,39318.63216386542
2012-11-05,31386.285755703015,24080.00031934715,38738.2041355579
2012-11-06,30563.38889508984,23248.46036062638,38433.381495875416
2012-11-07,29631.67884102837,22842.511932081274,37310.584959797925
2012-11-08,28606.918370240157,21074.160176859943,36384.86395150782
2012-11-09,27507.24736756034,19890.49614949141,35254.22362230195
2012-11-10,26352.85916779744,19971.99747305867,33689.418512079006
2012-11-11,25165.624906992474,17908.329587485467,32593.566841817184
2012-11-12,23968.673777546355,16585.71205575799,31383.694136523
2012-11-13,22785.9382092212,14980.008675029952,30684.692433188826
2012-11-14,21641.67391054552,13457.688910429863,29381.765938377506
2012-11-15,20559.96537910732,13367.764251321974,28132.839063432933
2012-11-16,19564.22790662465,12168.150401627041,26945.34658318297
2012-11-17,18676.71725445183,11292.045182943972,25927.617116992285
2012-11-18,17918.058053549998,10908.4142397025,25434.828881254263
2012-11-19,17306.80159226491,9470.141221158785,25017.18453916905
2012-11-20,16859.0230058605,9137.394612919827,24234.75229195443
2012-11-21,16587.966989848348,9286.800406147107,24212.83890001112
2012-11-22,16503.750047558948,9141.62811162301,24039.36978063159
2012-11-23,16613.125979624674,8977.867109939109,23811.92452691321
2012-11-24,16919.319861924872,8897.46222299101,24171.263265070236
2012-11-25,17421.934176624134,9395.800784180168,24754.70229112328
2012-11-26,18116.929097884407,11002.928999133263,25004.30874354732
2012-11-27,18996.677231814356,11467.159520116029,26362.268765476125
2012-11-28,20050.091411867914,12451.471168131706,27107.39811442509
2012-11-29,21262.822498334357,13726.305713285263,28603.429192281394
2012-11-30,22617.52256473564,15238.656374394077,29872.172136796966
2012-12-01,24094.16741292694,16998.583401354783,31793.218381166083
2012-12-02,25670.431077130826,18560.496555259277,32817.13529250622
2012-12-03,27322.10388504162,20252.828548295416,34748.099650205615
2012-12-04,29023.544766785173,21718.42005674729,36918.424166616824
2012-12-05,30748.15785849671,23483.61577039449,38738.91915752425
2012-12-06,32468.883049901277,24397.844233621894,39941.39206967098
2012-12-07,34158.68998029812,26796.493727493576,41183.888099576325
